load_average_1m,init_to_stop_ms,ebpf_to_userspace_ms
1.100,0.875,0.053
1.100,1.274,0.054
1.100,0.984,0.052
1.100,0.975,0.053
1.090,0.972,0.051
1.090,0.967,0.049
1.160,0.978,0.053
1.160,0.978,0.052
1.160,0.954,0.050
1.150,0.948,0.050
1.150,1.297,0.052
1.140,0.964,0.053
1.140,0.974,0.052
1.140,0.977,0.052
1.120,0.996,0.053
1.120,0.962,0.038
1.190,0.993,0.053
1.190,0.982,0.053
1.190,1.031,0.054
1.260,0.896,0.054
1.260,1.020,0.058
1.320,1.040,0.056
1.320,1.055,0.056
1.370,1.039,0.057
1.370,0.826,0.053
1.370,1.053,0.062
1.420,0.966,0.058
1.420,0.951,0.057
1.470,1.007,0.056
1.470,0.982,0.056
1.470,0.802,0.056
1.510,0.992,0.055
1.510,0.986,0.056
1.550,1.016,0.057
1.550,1.078,0.056
1.550,1.020,0.057
1.590,1.091,0.059
1.590,1.067,0.057
1.620,1.008,0.057
1.620,1.021,0.058
1.650,1.031,0.056
1.650,0.922,0.057
1.650,0.984,0.056
1.680,0.989,0.055
1.680,0.971,0.053
1.790,0.814,0.058
1.790,0.796,0.057
1.790,0.830,0.058
1.880,0.853,0.065
1.880,0.866,0.057
1.970,1.095,0.058
1.970,0.810,0.058
1.970,0.836,0.057
2.060,0.937,0.066
2.060,0.847,0.057
2.130,0.855,0.057
